ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2022,"2022",5216217,"Doctoral Universities","DOC","doctoral-universities",0.7742394704992301
2,"Part time",2022,"2022",1520997,"Doctoral Universities","DOC","doctoral-universities",0.2257605295007699
1,"Full time",2022,"2022",3088642,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8303731896828219
2,"Part time",2022,"2022",630941,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16962681031717802
1,"Full time",2022,"2022",42969,"University of Southern California","123961","university-of-southern-california",0.8779037695372357
1,"Full time",2022,"2022",47046,"University of Illinois Urbana-Champaign","145637","university-of-illinois-urbana-champaign",0.8265865485979338
1,"Full time",2022,"2022",47345,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.9242557345046364
1,"Full time",2022,"2022",6868,"Rensselaer Polytechnic Institute","194824","rensselaer-polytechnic-institute",0.9856486796785304
1,"Full time",2022,"2022",10180,"University of Rochester","195030","university-of-rochester",0.8346314667541198
1,"Full time",2022,"2022",23248,"University of Virginia-Main Campus","234076","university-of-virginia-main-campus",0.8913426884441377
2,"Part time",2022,"2022",5976,"University of Southern California","123961","university-of-southern-california",0.12209623046276433
2,"Part time",2022,"2022",9870,"University of Illinois Urbana-Champaign","145637","university-of-illinois-urbana-champaign",0.1734134514020662
2,"Part time",2022,"2022",3880,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.07574426549536359
2,"Part time",2022,"2022",100,"Rensselaer Polytechnic Institute","194824","rensselaer-polytechnic-institute",0.014351320321469576
2,"Part time",2022,"2022",2017,"University of Rochester","195030","university-of-rochester",0.16536853324588013
2,"Part time",2022,"2022",2834,"University of Virginia-Main Campus","234076","university-of-virginia-main-campus",0.10865731155586228
1,"Full time",2021,"2021",5203861,"Doctoral Universities","DOC","doctoral-universities",0.7658047846123871
2,"Part time",2021,"2021",1591423,"Doctoral Universities","DOC","doctoral-universities",0.23419521538761293
1,"Full time",2021,"2021",3076992,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8228831096451137
2,"Part time",2021,"2021",662290,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1771168903548863
1,"Full time",2021,"2021",42631,"University of Southern California","123961","university-of-southern-california",0.864410560038931
1,"Full time",2021,"2021",46600,"University of Illinois Urbana-Champaign","145637","university-of-illinois-urbana-champaign",0.8232197431413076
1,"Full time",2021,"2021",46710,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.9290345678030152
1,"Full time",2021,"2021",6704,"Rensselaer Polytechnic Institute","194824","rensselaer-polytechnic-institute",0.9896663714201358
1,"Full time",2021,"2021",10148,"University of Rochester","195030","university-of-rochester",0.842927153418058
1,"Full time",2021,"2021",23247,"University of Virginia-Main Campus","234076","university-of-virginia-main-campus",0.8939434724091521
2,"Part time",2021,"2021",6687,"University of Southern California","123961","university-of-southern-california",0.13558943996106898
2,"Part time",2021,"2021",10007,"University of Illinois Urbana-Champaign","145637","university-of-illinois-urbana-champaign",0.1767802568586924
2,"Part time",2021,"2021",3568,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.07096543219698477
2,"Part time",2021,"2021",70,"Rensselaer Polytechnic Institute","194824","rensselaer-polytechnic-institute",0.010333628579864187
2,"Part time",2021,"2021",1891,"University of Rochester","195030","university-of-rochester",0.157072846581942
2,"Part time",2021,"2021",2758,"University of Virginia-Main Campus","234076","university-of-virginia-main-campus",0.10605652759084791
1,"Full time",2020,"2020",5146509,"Doctoral Universities","DOC","doctoral-universities",0.7649821184906401
2,"Part time",2020,"2020",1581111,"Doctoral Universities","DOC","doctoral-universities",0.23501788150935993
1,"Full time",2020,"2020",2981969,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8189331513462967
2,"Part time",2020,"2020",659316,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1810668486537033
1,"Full time",2020,"2020",38607,"University of Southern California","123961","university-of-southern-california",0.8340786829995464
1,"Full time",2020,"2020",43274,"University of Illinois Urbana-Champaign","145637","university-of-illinois-urbana-champaign",0.8214658592608061
1,"Full time",2020,"2020",44584,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.9306364414386207
1,"Full time",2020,"2020",7401,"Rensselaer Polytechnic Institute","194824","rensselaer-polytechnic-institute",0.986668444207439
1,"Full time",2020,"2020",9451,"University of Rochester","195030","university-of-rochester",0.804956988331488
1,"Full time",2020,"2020",22851,"University of Virginia-Main Campus","234076","university-of-virginia-main-campus",0.8916419541126892
2,"Part time",2020,"2020",7680,"University of Southern California","123961","university-of-southern-california",0.16592131700045368
2,"Part time",2020,"2020",9405,"University of Illinois Urbana-Champaign","145637","university-of-illinois-urbana-champaign",0.178534140739194
