ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2018,"2018",5171124,"Doctoral Universities","DOC","doctoral-universities",0.7792053742333765
2,"Part time",2018,"2018",1465283,"Doctoral Universities","DOC","doctoral-universities",0.22079462576662343
1,"Full time",2018,"2018",2949765,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8363780866227821
2,"Part time",2018,"2018",577067,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16362191337721785
1,"Full time",2018,"2018",17748,"Northwestern University","147767","northwestern-university",0.8020969855832241
1,"Full time",2018,"2018",14600,"Johns Hopkins University","162928","johns-hopkins-university",0.5582747017436525
1,"Full time",2018,"2018",6436,"Dartmouth College","182670","dartmouth-college",0.9793061472915399
1,"Full time",2018,"2018",13160,"Carnegie Mellon University","211440","carnegie-mellon-university",0.9380568821726424
1,"Full time",2018,"2018",21960,"University of Pennsylvania","215062","university-of-pennsylvania",0.8491879350348028
1,"Full time",2018,"2018",9648,"Brown University","217156","brown-university",0.9406259140099444
2,"Part time",2018,"2018",4379,"Northwestern University","147767","northwestern-university",0.19790301441677588
2,"Part time",2018,"2018",11552,"Johns Hopkins University","162928","johns-hopkins-university",0.4417252982563475
2,"Part time",2018,"2018",136,"Dartmouth College","182670","dartmouth-college",0.020693852708460133
2,"Part time",2018,"2018",869,"Carnegie Mellon University","211440","carnegie-mellon-university",0.06194311782735762
2,"Part time",2018,"2018",3900,"University of Pennsylvania","215062","university-of-pennsylvania",0.15081206496519722
2,"Part time",2018,"2018",609,"Brown University","217156","brown-university",0.05937408599005557
1,"Full time",2017,"2017",5139378,"Doctoral Universities","DOC","doctoral-universities",0.7796012812492605
2,"Part time",2017,"2017",1452938,"Doctoral Universities","DOC","doctoral-universities",0.2203987187507395
1,"Full time",2017,"2017",2906997,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8358476357736256
2,"Part time",2017,"2017",570906,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16415236422637433
1,"Full time",2017,"2017",17664,"Northwestern University","147767","northwestern-university",0.8026172300981461
1,"Full time",2017,"2017",14393,"Johns Hopkins University","162928","johns-hopkins-university",0.5722635282891336
1,"Full time",2017,"2017",6389,"Dartmouth College","182670","dartmouth-college",0.9815639883238593
1,"Full time",2017,"2017",12972,"Carnegie Mellon University","211440","carnegie-mellon-university",0.9353233830845771
1,"Full time",2017,"2017",21599,"University of Pennsylvania","215062","university-of-pennsylvania",0.8514605589939686
1,"Full time",2017,"2017",9495,"Brown University","217156","brown-university",0.9405646359583952
2,"Part time",2017,"2017",4344,"Northwestern University","147767","northwestern-university",0.19738276990185388
2,"Part time",2017,"2017",10758,"Johns Hopkins University","162928","johns-hopkins-university",0.4277364717108664
2,"Part time",2017,"2017",120,"Dartmouth College","182670","dartmouth-college",0.01843601167614073
2,"Part time",2017,"2017",897,"Carnegie Mellon University","211440","carnegie-mellon-university",0.06467661691542288
2,"Part time",2017,"2017",3768,"University of Pennsylvania","215062","university-of-pennsylvania",0.14853944100603145
2,"Part time",2017,"2017",600,"Brown University","217156","brown-university",0.05943536404160475
1,"Full time",2016,"2016",5122545,"Doctoral Universities","DOC","doctoral-universities",0.7803563969467882
2,"Part time",2016,"2016",1441821,"Doctoral Universities","DOC","doctoral-universities",0.21964360305321184
1,"Full time",2016,"2016",2864979,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8352998252709058
2,"Part time",2016,"2016",564902,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1647001747290941
1,"Full time",2016,"2016",17475,"Northwestern University","147767","northwestern-university",0.8007606653530679
1,"Full time",2016,"2016",13963,"Johns Hopkins University","162928","johns-hopkins-university",0.583810678596814
1,"Full time",2016,"2016",6298,"Dartmouth College","182670","dartmouth-college",0.9826806053986581
1,"Full time",2016,"2016",12254,"Carnegie Mellon University","211440","carnegie-mellon-university",0.9242721375773119
1,"Full time",2016,"2016",21358,"University of Pennsylvania","215062","university-of-pennsylvania",0.8556891025641026
1,"Full time",2016,"2016",9196,"Brown University","217156","brown-university",0.9401901646048462
2,"Part time",2016,"2016",4348,"Northwestern University","147767","northwestern-university",0.19923933464693214
2,"Part time",2016,"2016",9954,"Johns Hopkins University","162928","johns-hopkins-university",0.41618932140318604
2,"Part time",2016,"2016",111,"Dartmouth College","182670","dartmouth-college",0.017319394601341864
