ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2022,"2022",5216217,"Doctoral Universities","DOC","doctoral-universities",0.7742394704992301
2,"Part time",2022,"2022",1520997,"Doctoral Universities","DOC","doctoral-universities",0.2257605295007699
1,"Full time",2022,"2022",3088642,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8303731896828219
2,"Part time",2022,"2022",630941,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16962681031717802
1,"Full time",2022,"2022",15462,"Georgetown University","131496","georgetown-university",0.7368471216164697
1,"Full time",2022,"2022",12809,"University of Notre Dame","152080","university-of-notre-dame",0.9774132010682945
1,"Full time",2022,"2022",12004,"Tufts University (168148)","168148","tufts-university",0.8937532573896211
1,"Full time",2022,"2022",25098,"Cornell University","190415","cornell-university",0.969109583751641
1,"Full time",2022,"2022",17425,"Duke University","198419","duke-university",0.9668201742218276
1,"Full time",2022,"2022",16992,"Stanford University","243744","stanford-university",0.9293879560247225
2,"Part time",2022,"2022",5522,"Georgetown University","131496","georgetown-university",0.2631528783835303
2,"Part time",2022,"2022",296,"University of Notre Dame","152080","university-of-notre-dame",0.022586798931705458
2,"Part time",2022,"2022",1427,"Tufts University (168148)","168148","tufts-university",0.10624674261037897
2,"Part time",2022,"2022",800,"Cornell University","190415","cornell-university",0.030890416248358945
2,"Part time",2022,"2022",598,"Duke University","198419","duke-university",0.033179825778172335
2,"Part time",2022,"2022",1291,"Stanford University","243744","stanford-university",0.07061204397527758
1,"Full time",2021,"2021",5203861,"Doctoral Universities","DOC","doctoral-universities",0.7658047846123871
2,"Part time",2021,"2021",1591423,"Doctoral Universities","DOC","doctoral-universities",0.23419521538761293
1,"Full time",2021,"2021",3076992,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8228831096451137
2,"Part time",2021,"2021",662290,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1771168903548863
1,"Full time",2021,"2021",15382,"Georgetown University","131496","georgetown-university",0.7347504179603535
1,"Full time",2021,"2021",12850,"University of Notre Dame","152080","university-of-notre-dame",0.9780044143389908
1,"Full time",2021,"2021",12001,"Tufts University (168148)","168148","tufts-university",0.902805988114045
1,"Full time",2021,"2021",25008,"Cornell University","190415","cornell-university",0.9775623485263075
1,"Full time",2021,"2021",17013,"Duke University","198419","duke-university",0.9655505107832009
1,"Full time",2021,"2021",16605,"Stanford University","243744","stanford-university",0.9391968325791855
2,"Part time",2021,"2021",5553,"Georgetown University","131496","georgetown-university",0.26524958203964655
2,"Part time",2021,"2021",289,"University of Notre Dame","152080","university-of-notre-dame",0.02199558566100921
2,"Part time",2021,"2021",1292,"Tufts University (168148)","168148","tufts-university",0.09719401188595501
2,"Part time",2021,"2021",574,"Cornell University","190415","cornell-university",0.02243765147369244
2,"Part time",2021,"2021",607,"Duke University","198419","duke-university",0.03444948921679909
2,"Part time",2021,"2021",1075,"Stanford University","243744","stanford-university",0.06080316742081448
1,"Full time",2020,"2020",5146509,"Doctoral Universities","DOC","doctoral-universities",0.7649821184906401
2,"Part time",2020,"2020",1581111,"Doctoral Universities","DOC","doctoral-universities",0.23501788150935993
1,"Full time",2020,"2020",2981969,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8189331513462967
2,"Part time",2020,"2020",659316,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1810668486537033
1,"Full time",2020,"2020",14022,"Georgetown University","131496","georgetown-university",0.7238655722471736
1,"Full time",2020,"2020",12533,"University of Notre Dame","152080","university-of-notre-dame",0.9784526504801312
1,"Full time",2020,"2020",11018,"Tufts University (168148)","168148","tufts-university",0.9017104509370653
1,"Full time",2020,"2020",22975,"Cornell University","190415","cornell-university",0.972692633361558
1,"Full time",2020,"2020",15352,"Duke University","198419","duke-university",0.9492950779124413
1,"Full time",2020,"2020",14217,"Stanford University","243744","stanford-university",0.8911803422553751
2,"Part time",2020,"2020",5349,"Georgetown University","131496","georgetown-university",0.2761344277528264
2,"Part time",2020,"2020",276,"University of Notre Dame","152080","university-of-notre-dame",0.021547349519868843
2,"Part time",2020,"2020",1201,"Tufts University (168148)","168148","tufts-university",0.09828954906293477
2,"Part time",2020,"2020",645,"Cornell University","190415","cornell-university",0.027307366638441997
2,"Part time",2020,"2020",820,"Duke University","198419","duke-university",0.050704922087558744
2,"Part time",2020,"2020",1736,"Stanford University","243744","stanford-university",0.10881965774462483
1,"Full time",2019,"2019",5208993,"Doctoral Universities","DOC","doctoral-universities",0.7762226976822367
2,"Part time",2019,"2019",1501701,"Doctoral Universities","DOC","doctoral-universities",0.22377730231776327
1,"Full time",2019,"2019",3000045,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8318404332159994
