ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2022,"2022",5216217,"Doctoral Universities","DOC","doctoral-universities",0.7742394704992301
2,"Part time",2022,"2022",1520997,"Doctoral Universities","DOC","doctoral-universities",0.2257605295007699
1,"Full time",2022,"2022",3088642,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8303731896828219
2,"Part time",2022,"2022",630941,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16962681031717802
1,"Full time",2022,"2022",36330,"University of Georgia","139959","university-of-georgia",0.8946733321841062
1,"Full time",2022,"2022",20695,"University of Nebraska-Lincoln","181464","university-of-nebraska-lincoln",0.8693551774837219
1,"Full time",2022,"2022",14936,"Rochester Institute of Technology","195003","rochester-institute-of-technology",0.8989467348781222
1,"Full time",2022,"2022",17358,"Miami University-Oxford","204024","miami-university-oxford",0.9084628670120898
1,"Full time",2022,"2022",22464,"University of Oklahoma-Norman Campus","207500","university-of-oklahoma-norman-campus",0.7935565917761763
1,"Full time",2022,"2022",43353,"Purdue University-Main Campus","243780","purdue-university-main-campus",0.8413483931066604
2,"Part time",2022,"2022",4277,"University of Georgia","139959","university-of-georgia",0.10532666781589381
2,"Part time",2022,"2022",3110,"University of Nebraska-Lincoln","181464","university-of-nebraska-lincoln",0.1306448225162781
2,"Part time",2022,"2022",1679,"Rochester Institute of Technology","195003","rochester-institute-of-technology",0.10105326512187782
2,"Part time",2022,"2022",1749,"Miami University-Oxford","204024","miami-university-oxford",0.09153713298791019
2,"Part time",2022,"2022",5844,"University of Oklahoma-Norman Campus","207500","university-of-oklahoma-norman-campus",0.20644340822382365
2,"Part time",2022,"2022",8175,"Purdue University-Main Campus","243780","purdue-university-main-campus",0.15865160689333954
1,"Full time",2021,"2021",5203861,"Doctoral Universities","DOC","doctoral-universities",0.7658047846123871
2,"Part time",2021,"2021",1591423,"Doctoral Universities","DOC","doctoral-universities",0.23419521538761293
1,"Full time",2021,"2021",3076992,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8228831096451137
2,"Part time",2021,"2021",662290,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1771168903548863
1,"Full time",2021,"2021",35681,"University of Georgia","139959","university-of-georgia",0.8894012662645197
1,"Full time",2021,"2021",21055,"University of Nebraska-Lincoln","181464","university-of-nebraska-lincoln",0.8618149072899185
1,"Full time",2021,"2021",14923,"Rochester Institute of Technology","195003","rochester-institute-of-technology",0.8888028588445503
1,"Full time",2021,"2021",17564,"Miami University-Oxford","204024","miami-university-oxford",0.9117524916943521
1,"Full time",2021,"2021",21960,"University of Oklahoma-Norman Campus","207500","university-of-oklahoma-norman-campus",0.7831110477141431
1,"Full time",2021,"2021",42732,"Purdue University-Main Campus","243780","purdue-university-main-campus",0.8488002542507548
2,"Part time",2021,"2021",4437,"University of Georgia","139959","university-of-georgia",0.11059873373548033
2,"Part time",2021,"2021",3376,"University of Nebraska-Lincoln","181464","university-of-nebraska-lincoln",0.13818509271008145
2,"Part time",2021,"2021",1867,"Rochester Institute of Technology","195003","rochester-institute-of-technology",0.11119714115544967
2,"Part time",2021,"2021",1700,"Miami University-Oxford","204024","miami-university-oxford",0.08824750830564784
2,"Part time",2021,"2021",6082,"University of Oklahoma-Norman Campus","207500","university-of-oklahoma-norman-campus",0.21688895228585692
2,"Part time",2021,"2021",7612,"Purdue University-Main Campus","243780","purdue-university-main-campus",0.1511997457492452
1,"Full time",2020,"2020",5146509,"Doctoral Universities","DOC","doctoral-universities",0.7649821184906401
2,"Part time",2020,"2020",1581111,"Doctoral Universities","DOC","doctoral-universities",0.23501788150935993
1,"Full time",2020,"2020",2981969,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8189331513462967
2,"Part time",2020,"2020",659316,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1810668486537033
1,"Full time",2020,"2020",34951,"University of Georgia","139959","university-of-georgia",0.8928142641837178
1,"Full time",2020,"2020",21534,"University of Nebraska-Lincoln","181464","university-of-nebraska-lincoln",0.8576549306993787
1,"Full time",2020,"2020",14283,"Rochester Institute of Technology","195003","rochester-institute-of-technology",0.8839584106943928
1,"Full time",2020,"2020",17042,"Miami University-Oxford","204024","miami-university-oxford",0.9026483050847458
1,"Full time",2020,"2020",21825,"University of Oklahoma-Norman Campus","207500","university-of-oklahoma-norman-campus",0.7858634595995967
1,"Full time",2020,"2020",39660,"Purdue University-Main Campus","243780","purdue-university-main-campus",0.8500696602722109
2,"Part time",2020,"2020",4196,"University of Georgia","139959","university-of-georgia",0.10718573581628221
2,"Part time",2020,"2020",3574,"University of Nebraska-Lincoln","181464","university-of-nebraska-lincoln",0.14234506930062132
2,"Part time",2020,"2020",1875,"Rochester Institute of Technology","195003","rochester-institute-of-technology",0.11604158930560712
