ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2022,"2022",5216217,"Doctoral Universities","DOC","doctoral-universities",0.7742394704992301
2,"Part time",2022,"2022",1520997,"Doctoral Universities","DOC","doctoral-universities",0.2257605295007699
1,"Full time",2022,"2022",3088642,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8303731896828219
2,"Part time",2022,"2022",630941,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16962681031717802
1,"Full time",2022,"2022",2401,"California Institute of Technology","110404","california-institute-of-technology",1
1,"Full time",2022,"2022",14538,"Yale University","130794","yale-university",0.9838927991337304
1,"Full time",2022,"2022",16392,"University of Chicago","144050","university-of-chicago",0.893832815311631
1,"Full time",2022,"2022",21206,"Harvard University","166027","harvard-university",0.6923051810257582
1,"Full time",2022,"2022",28383,"Columbia University in the City of New York","190150","columbia-university-in-the-city-of-new-york",0.8160255304467828
1,"Full time",2022,"2022",7998,"Rice University","227757","rice-university",0.9222785977859779
2,"Part time",2022,"2022",238,"Yale University","130794","yale-university",0.016107200866269628
2,"Part time",2022,"2022",1947,"University of Chicago","144050","university-of-chicago",0.10616718468836905
2,"Part time",2022,"2022",9425,"Harvard University","166027","harvard-university",0.3076948189742418
2,"Part time",2022,"2022",6399,"Columbia University in the City of New York","190150","columbia-university-in-the-city-of-new-york",0.18397446955321717
2,"Part time",2022,"2022",674,"Rice University","227757","rice-university",0.07772140221402214
1,"Full time",2021,"2021",5203861,"Doctoral Universities","DOC","doctoral-universities",0.7658047846123871
2,"Part time",2021,"2021",1591423,"Doctoral Universities","DOC","doctoral-universities",0.23419521538761293
1,"Full time",2021,"2021",3076992,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8228831096451137
2,"Part time",2021,"2021",662290,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1771168903548863
1,"Full time",2021,"2021",2397,"California Institute of Technology","110404","california-institute-of-technology",1
1,"Full time",2021,"2021",14360,"Yale University","130794","yale-university",0.9857897988604379
1,"Full time",2021,"2021",16710,"University of Chicago","144050","university-of-chicago",0.8873194562446899
1,"Full time",2021,"2021",21160,"Harvard University","166027","harvard-university",0.6750677939065242
1,"Full time",2021,"2021",28922,"Columbia University in the City of New York","190150","columbia-university-in-the-city-of-new-york",0.8562884888678352
1,"Full time",2021,"2021",7848,"Rice University","227757","rice-university",0.9472540736270368
2,"Part time",2021,"2021",207,"Yale University","130794","yale-university",0.014210201139562024
2,"Part time",2021,"2021",2122,"University of Chicago","144050","university-of-chicago",0.11268054375531011
2,"Part time",2021,"2021",10185,"Harvard University","166027","harvard-university",0.32493220609347584
2,"Part time",2021,"2021",4854,"Columbia University in the City of New York","190150","columbia-university-in-the-city-of-new-york",0.14371151113216485
2,"Part time",2021,"2021",437,"Rice University","227757","rice-university",0.05274592637296319
1,"Full time",2020,"2020",5146509,"Doctoral Universities","DOC","doctoral-universities",0.7649821184906401
2,"Part time",2020,"2020",1581111,"Doctoral Universities","DOC","doctoral-universities",0.23501788150935993
1,"Full time",2020,"2020",2981969,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8189331513462967
2,"Part time",2020,"2020",659316,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1810668486537033
1,"Full time",2020,"2020",2240,"California Institute of Technology","110404","california-institute-of-technology",1
1,"Full time",2020,"2020",11905,"Yale University","130794","yale-university",0.9871475953565506
1,"Full time",2020,"2020",15610,"University of Chicago","144050","university-of-chicago",0.875294381518448
1,"Full time",2020,"2020",19030,"Harvard University","166027","harvard-university",0.6261722220394196
1,"Full time",2020,"2020",23803,"Columbia University in the City of New York","190150","columbia-university-in-the-city-of-new-york",0.7898788783806205
1,"Full time",2020,"2020",7156,"Rice University","227757","rice-university",0.9362815648305639
2,"Part time",2020,"2020",155,"Yale University","130794","yale-university",0.01285240464344942
2,"Part time",2020,"2020",2224,"University of Chicago","144050","university-of-chicago",0.1247056184815521
2,"Part time",2020,"2020",11361,"Harvard University","166027","harvard-university",0.3738277779605804
2,"Part time",2020,"2020",6332,"Columbia University in the City of New York","190150","columbia-university-in-the-city-of-new-york",0.21012112161937946
2,"Part time",2020,"2020",487,"Rice University","227757","rice-university",0.06371843516943608
1,"Full time",2019,"2019",5208993,"Doctoral Universities","DOC","doctoral-universities",0.7762226976822367
2,"Part time",2019,"2019",1501701,"Doctoral Universities","DOC","doctoral-universities",0.22377730231776327
1,"Full time",2019,"2019",3000045,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8318404332159994
2,"Part time",2019,"2019",606470,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16815956678400062
1,"Full time",2019,"2019",2237,"California Institute of Technology","110404","california-institute-of-technology",1
