ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2022,"2022",5216217,"Doctoral Universities","DOC","doctoral-universities",0.7742394704992301
2,"Part time",2022,"2022",1520997,"Doctoral Universities","DOC","doctoral-universities",0.2257605295007699
1,"Full time",2022,"2022",3088642,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8303731896828219
2,"Part time",2022,"2022",630941,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16962681031717802
1,"Full time",2022,"2022",40252,"University of California-San Diego (110680)","110680","university-of-california-san-diego",0.9582440603723278
1,"Full time",2022,"2022",5433,"Illinois Institute of Technology","145725","illinois-institute-of-technology",0.7825147630707187
1,"Full time",2022,"2022",27021,"Iowa State University","153603","iowa-state-university",0.9016316860756115
1,"Full time",2022,"2022",13418,"Fordham University","191241","fordham-university",0.8104614641217686
1,"Full time",2022,"2022",21993,"Stony Brook University","196097","stony-brook-university",0.8554259043173862
1,"Full time",2022,"2022",30147,"Brigham Young University","230038","brigham-young-university",0.8747388579387186
2,"Part time",2022,"2022",1754,"University of California-San Diego (110680)","110680","university-of-california-san-diego",0.04175593962767224
2,"Part time",2022,"2022",1510,"Illinois Institute of Technology","145725","illinois-institute-of-technology",0.2174852369292813
2,"Part time",2022,"2022",2948,"Iowa State University","153603","iowa-state-university",0.09836831392438854
2,"Part time",2022,"2022",3138,"Fordham University","191241","fordham-university",0.18953853587823147
2,"Part time",2022,"2022",3717,"Stony Brook University","196097","stony-brook-university",0.14457409568261376
2,"Part time",2022,"2022",4317,"Brigham Young University","230038","brigham-young-university",0.12526114206128133
1,"Full time",2021,"2021",5203861,"Doctoral Universities","DOC","doctoral-universities",0.7658047846123871
2,"Part time",2021,"2021",1591423,"Doctoral Universities","DOC","doctoral-universities",0.23419521538761293
1,"Full time",2021,"2021",3076992,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8228831096451137
2,"Part time",2021,"2021",662290,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1771168903548863
1,"Full time",2021,"2021",40280,"University of California-San Diego (110680)","110680","university-of-california-san-diego",0.9616807926465322
1,"Full time",2021,"2021",5132,"Illinois Institute of Technology","145725","illinois-institute-of-technology",0.7912426765340734
1,"Full time",2021,"2021",27553,"Iowa State University","153603","iowa-state-university",0.8972580435065781
1,"Full time",2021,"2021",13422,"Fordham University","191241","fordham-university",0.7901801483574709
1,"Full time",2021,"2021",22457,"Stony Brook University","196097","stony-brook-university",0.8439942874323512
1,"Full time",2021,"2021",30307,"Brigham Young University","230038","brigham-young-university",0.8706156100083307
2,"Part time",2021,"2021",1605,"University of California-San Diego (110680)","110680","university-of-california-san-diego",0.038319207353467825
2,"Part time",2021,"2021",1354,"Illinois Institute of Technology","145725","illinois-institute-of-technology",0.2087573234659266
2,"Part time",2021,"2021",3155,"Iowa State University","153603","iowa-state-university",0.10274195649342191
2,"Part time",2021,"2021",3564,"Fordham University","191241","fordham-university",0.20981985164252914
2,"Part time",2021,"2021",4151,"Stony Brook University","196097","stony-brook-university",0.15600571256764884
2,"Part time",2021,"2021",4504,"Brigham Young University","230038","brigham-young-university",0.1293843899916693
1,"Full time",2020,"2020",5146509,"Doctoral Universities","DOC","doctoral-universities",0.7649821184906401
2,"Part time",2020,"2020",1581111,"Doctoral Universities","DOC","doctoral-universities",0.23501788150935993
1,"Full time",2020,"2020",2981969,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8189331513462967
2,"Part time",2020,"2020",659316,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1810668486537033
1,"Full time",2020,"2020",38072,"University of California-San Diego (110680)","110680","university-of-california-san-diego",0.9619971700020215
1,"Full time",2020,"2020",5076,"Illinois Institute of Technology","145725","illinois-institute-of-technology",0.8025296442687747
1,"Full time",2020,"2020",28302,"Iowa State University","153603","iowa-state-university",0.8893847024071397
1,"Full time",2020,"2020",12882,"Fordham University","191241","fordham-university",0.7872158396480078
1,"Full time",2020,"2020",21985,"Stony Brook University","196097","stony-brook-university",0.8208871630199388
1,"Full time",2020,"2020",31926,"Brigham Young University","230038","brigham-young-university",0.8756205260415239
2,"Part time",2020,"2020",1504,"University of California-San Diego (110680)","110680","university-of-california-san-diego",0.03800282999797857
2,"Part time",2020,"2020",1249,"Illinois Institute of Technology","145725","illinois-institute-of-technology",0.1974703557312253
2,"Part time",2020,"2020",3520,"Iowa State University","153603","iowa-state-university",0.11061529759286029
2,"Part time",2020,"2020",3482,"Fordham University","191241","fordham-university",0.21278416035199219
2,"Part time",2020,"2020",4797,"Stony Brook University","196097","stony-brook-university",0.17911283698006122
2,"Part time",2020,"2020",4535,"Brigham Young University","230038","brigham-young-university",0.12437947395847618
1,"Full time",2019,"2019",5208993,"Doctoral Universities","DOC","doctoral-universities",0.7762226976822367
