ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2022,"2022",5216217,"Doctoral Universities","DOC","doctoral-universities",0.7742394704992301
2,"Part time",2022,"2022",1520997,"Doctoral Universities","DOC","doctoral-universities",0.2257605295007699
1,"Full time",2022,"2022",3088642,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8303731896828219
2,"Part time",2022,"2022",630941,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16962681031717802
1,"Full time",2022,"2022",18141,"University of Miami","135726","university-of-miami",0.9350067003401711
1,"Full time",2022,"2022",9127,"University of Missouri-Kansas City","178402","university-of-missouri-kansas-city",0.5812265172260078
1,"Full time",2022,"2022",5284,"Yeshiva University","197708","yeshiva-university",0.8725231175693527
1,"Full time",2022,"2022",26630,"University of Pittsburgh-Pittsburgh Campus","215293","university-of-pittsburgh-pittsburgh-campus",0.7886397962507774
1,"Full time",2022,"2022",25307,"The University of Texas at Dallas","228787","the-university-of-texas-at-dallas",0.8016154577130187
1,"Full time",2022,"2022",42432,"University of Washington-Seattle Campus","236948","university-of-washington-seattle-campus",0.81102467554808
2,"Part time",2022,"2022",1261,"University of Miami","135726","university-of-miami",0.06499329965982889
2,"Part time",2022,"2022",6576,"University of Missouri-Kansas City","178402","university-of-missouri-kansas-city",0.41877348277399223
2,"Part time",2022,"2022",772,"Yeshiva University","197708","yeshiva-university",0.12747688243064728
2,"Part time",2022,"2022",7137,"University of Pittsburgh-Pittsburgh Campus","215293","university-of-pittsburgh-pittsburgh-campus",0.21136020374922262
2,"Part time",2022,"2022",6263,"The University of Texas at Dallas","228787","the-university-of-texas-at-dallas",0.19838454228698132
2,"Part time",2022,"2022",9887,"University of Washington-Seattle Campus","236948","university-of-washington-seattle-campus",0.18897532445191995
1,"Full time",2021,"2021",5203861,"Doctoral Universities","DOC","doctoral-universities",0.7658047846123871
2,"Part time",2021,"2021",1591423,"Doctoral Universities","DOC","doctoral-universities",0.23419521538761293
1,"Full time",2021,"2021",3076992,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8228831096451137
2,"Part time",2021,"2021",662290,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1771168903548863
1,"Full time",2021,"2021",17738,"University of Miami","135726","university-of-miami",0.9288856304985337
1,"Full time",2021,"2021",9062,"University of Missouri-Kansas City","178402","university-of-missouri-kansas-city",0.5662688245953884
1,"Full time",2021,"2021",4789,"Yeshiva University","197708","yeshiva-university",0.870568987456826
1,"Full time",2021,"2021",26558,"University of Pittsburgh-Pittsburgh Campus","215293","university-of-pittsburgh-pittsburgh-campus",0.7992175744808908
1,"Full time",2021,"2021",23719,"The University of Texas at Dallas","228787","the-university-of-texas-at-dallas",0.7987271012931034
1,"Full time",2021,"2021",42729,"University of Washington-Seattle Campus","236948","university-of-washington-seattle-campus",0.8149101727886486
2,"Part time",2021,"2021",1358,"University of Miami","135726","university-of-miami",0.07111436950146628
2,"Part time",2021,"2021",6941,"University of Missouri-Kansas City","178402","university-of-missouri-kansas-city",0.43373117540461165
2,"Part time",2021,"2021",712,"Yeshiva University","197708","yeshiva-university",0.12943101254317396
2,"Part time",2021,"2021",6672,"University of Pittsburgh-Pittsburgh Campus","215293","university-of-pittsburgh-pittsburgh-campus",0.20078242551910924
2,"Part time",2021,"2021",5977,"The University of Texas at Dallas","228787","the-university-of-texas-at-dallas",0.20127289870689655
2,"Part time",2021,"2021",9705,"University of Washington-Seattle Campus","236948","university-of-washington-seattle-campus",0.18508982721135142
1,"Full time",2020,"2020",5146509,"Doctoral Universities","DOC","doctoral-universities",0.7649821184906401
2,"Part time",2020,"2020",1581111,"Doctoral Universities","DOC","doctoral-universities",0.23501788150935993
1,"Full time",2020,"2020",2981969,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8189331513462967
2,"Part time",2020,"2020",659316,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1810668486537033
1,"Full time",2020,"2020",16400,"University of Miami","135726","university-of-miami",0.9208826997585491
1,"Full time",2020,"2020",8939,"University of Missouri-Kansas City","178402","university-of-missouri-kansas-city",0.5536012881649842
1,"Full time",2020,"2020",4694,"Yeshiva University","197708","yeshiva-university",0.8497465604634323
1,"Full time",2020,"2020",25343,"University of Pittsburgh-Pittsburgh Campus","215293","university-of-pittsburgh-pittsburgh-campus",0.7851721039749667
1,"Full time",2020,"2020",22941,"The University of Texas at Dallas","228787","the-university-of-texas-at-dallas",0.8002023091143744
1,"Full time",2020,"2020",42055,"University of Washington-Seattle Campus","236948","university-of-washington-seattle-campus",0.8734345469272466
2,"Part time",2020,"2020",1409,"University of Miami","135726","university-of-miami",0.07911730024145096
2,"Part time",2020,"2020",7208,"University of Missouri-Kansas City","178402","university-of-missouri-kansas-city",0.4463987118350158
